"","m3/m5","m3/m9","m6/m1","m2/m4","m2/m1","m8/m4","m7/m8","m10/m7","m5/m8","m9/m10","m6/m3"
"Бийск",0.270152505446623,0.232863849765258,0.0269854717750793,160.083024400362,31966.5742257366,0.22362284406899,1.22247206802052,0.232501293326436,0.00645070620476424,0.0263299401086574,0.346774193548387
"Реутов",0.000135746606334842,1.24069478908189e-05,0.0190255052868685,310.967557043091,13418.8067814122,0.601879445177484,0.461662264332538,0.147197739196905,0.00118167916074045,0.190255877631952,4566.66666666667
"Троицк",1.49321047526673,3.47516930022573,0.0583463751021984,91.3528092272461,12079.4354138863,0.530494037478706,0.440390831464459,0.142702082386975,0.0217105193889047,0.148438547111647,0.025657681065281
"Фрязино",0.448198198198199,1.31353135313532,0.00477125319947318,418.271094562596,3757.44458636714,0.555580144731892,0.636018721370247,0.423031517637664,0.0088428599880502,0.0112144966800648,0.241206030150753
"Черноголовка",1.48903043170559,3.31599684791175,0.0088058738899638,348.35453459732,3017.10247804733,0.555332798716923,0.699793708096955,0.407269511386248,0.0728726147498709,0.114815860331799,0.0168726235741445
"Дубна",2.08130968622101,4.17058501913614,0.0267769091609684,363.722896410329,26764.396246008,0.558464726791839,0.721379474750687,0.3627943865524,0.0291231276570385,0.0555332896111152,0.0107498689040377
"Жуковский",0.283834586466165,0.0805190188410951,0.0110493395508405,306.638381646446,3854.2356831853,0.549244950713553,0.611031209952265,0.296282524476357,0.00893151942157779,0.173909280313568,0.631346578366446
"Кольцово",0.301694915254237,0.35814889336016,0.0221119355314235,580.338037916437,13943.6828853619,0.525206045360656,0.818465013044663,0.464768066987012,0.0229741832483159,0.0508754258385745,0.252808988764045
"Королев",0.0903897849462366,0.036410395235517,0.00360026614449109,396.419245788771,2500.54756240446,0.571700718082961,0.574329180485536,0.367202566494505,0.00777776906611888,0.0915550730780004,1.42007434944237
"Мичуринск",0.125932835820896,0.14018691588785,0.0575035063113605,44.0372729770916,17306.2776998597,0.557831286602927,0.399524010594603,0.297559569561875,0.00685834197023786,0.0518243461414272,0.303703703703704
"Обнинск",0.569465648854962,0.571866615561517,0.0154665639840842,887.560907216732,19561.6555641124,0.550474049571373,0.761454883996488,0.30268426536992,0.0138590607576992,0.0598787277893297,0.161528150134048
"Протвино",1.93759071117561,2.8648068669528,0.000899356398077625,356.604155829934,2196.51162137096,0.544674715507249,0.594846362631105,0.216296755295177,0.0115437456019838,0.0606818241008411,0.0119850187265918
"Пущино",0.707756232686981,1.29585798816568,0.0555382998286542,0.150720022803573,19.577596261244,0.537055805409517,0.4582178451377,0.494517374517374,0.0638674293801968,0.153940245679783,0.0176125244618395
